,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

,1.0  0.0  ,2.5005875381881304  1.0  28345.63  

